K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
03.倒T字線,12.-10~-8%,2.5~10%,48.35,48.35,54.95,52.75,56.04,91
05.實體紅K(大陽線),13.<-10%,1.<5%,61.18,60.0,58.82,60.0,54.12,85
04.十字線,03.6~8%,1.<5%,32.94,48.24,48.24,48.24,51.76,85
09.實體綠K(大陰線),07.0%,3.10~15%,30.59,30.59,34.12,30.59,35.29,85
12.長上影線綠K,03.6~8%,1.<5%,45.24,38.1,35.71,41.67,40.48,84
08.長上影線紅K,03.6~8%,2.5~10%,39.29,51.19,55.95,53.57,55.95,84
12.長上影線綠K,04.4~6%,2.5~10%,46.43,50.0,45.12,54.88,37.8,84
11.綠K,11.-8~-6%,1.<5%,43.9,43.9,43.21,46.91,45.68,82
10.長下影線綠K,02.8~10%,1.<5%,21.95,29.27,41.46,43.9,41.46,82
02.T字線,01.>10%,1.<5%,64.2,60.0,63.75,61.25,63.75,81
08.長上影線紅K,07.0%,3.10~15%,49.37,48.1,43.04,45.57,44.3,79
03.倒T字線,11.-8~-6%,3.10~15%,49.37,49.37,49.37,46.84,51.9,79
11.綠K,04.4~6%,1.<5%,35.9,50.0,60.26,61.54,51.28,78
12.長上影線綠K,13.<-10%,1.<5%,55.13,64.1,60.26,65.38,64.1,78
04.十字線,10.-6~-4%,3.10~15%,33.77,36.36,37.66,41.56,42.86,77
12.長上影線綠K,12.-10~-8%,3.10~15%,44.16,46.05,53.95,55.26,56.58,77
08.長上影線紅K,02.8~10%,1.<5%,40.79,36.84,39.47,47.37,52.63,76
03.倒T字線,06.0~2%,2.5~10%,50.67,49.33,52.0,50.67,52.0,75
11.綠K,11.-8~-6%,3.10~15%,61.33,52.0,58.11,45.95,51.35,75
07.紅K,03.6~8%,1.<5%,46.58,45.21,47.95,50.68,45.21,73
03.倒T字線,04.4~6%,1.<5%,52.05,53.42,49.32,47.95,53.42,73
05.實體紅K(大陽線),11.-8~-6%,2.5~10%,58.82,58.82,55.88,54.41,56.72,68
11.綠K,08.-2~0%,3.10~15%,47.76,52.24,64.18,61.19,58.21,67
04.十字線,09.-4~-2%,3.10~15%,44.78,38.81,37.31,38.81,40.3,67
04.十字線,01.>10%,1.<5%,32.31,43.08,36.92,50.77,41.54,65
05.實體紅K(大陽線),09.-4~-2%,3.10~15%,49.23,41.54,50.77,50.77,52.31,65
02.T字線,02.8~10%,2.5~10%,58.46,47.69,55.38,53.85,60.0,65
07.紅K,06.0~2%,3.10~15%,36.51,36.51,42.86,50.79,43.55,63
09.實體綠K(大陰線),05.2~4%,3.10~15%,45.16,67.74,43.55,30.65,43.55,62
06.長下影線紅K,08.-2~0%,3.10~15%,38.98,44.07,44.07,55.93,55.93,59
04.十字線,08.-2~0%,3.10~15%,38.98,37.29,40.68,35.59,35.59,59
12.長上影線綠K,02.8~10%,1.<5%,43.1,39.66,46.55,43.1,46.55,58
12.長上影線綠K,13.<-10%,2.5~10%,43.1,51.72,60.34,62.07,62.07,58
10.長下影線綠K,02.8~10%,2.5~10%,43.86,42.11,45.61,45.61,38.6,57
08.長上影線紅K,11.-8~-6%,3.10~15%,57.89,61.4,68.42,61.4,61.4,57
03.倒T字線,13.<-10%,1.<5%,40.0,54.55,60.0,65.45,63.64,55
08.長上影線紅K,04.4~6%,3.10~15%,58.18,54.55,49.09,45.45,40.0,55
09.實體綠K(大陰線),10.-6~-4%,4.>15%,51.85,50.0,55.56,53.7,53.7,54
06.長下影線紅K,11.-8~-6%,1.<5%,46.15,51.92,46.15,44.23,48.08,52
02.T字線,03.6~8%,3.10~15%,55.77,50.0,51.92,57.69,48.08,52
09.實體綠K(大陰線),01.>10%,2.5~10%,46.15,51.92,34.62,32.69,28.85,52
07.紅K,10.-6~-4%,2.5~10%,49.02,54.9,52.94,56.86,54.9,51
10.長下影線綠K,12.-10~-8%,1.<5%,50.98,58.82,62.75,58.82,50.98,51
07.紅K,03.6~8%,3.10~15%,28.0,40.0,34.0,46.0,44.0,50
04.十字線,13.<-10%,4.>15%,51.06,48.94,57.45,51.06,59.57,47
04.十字線,07.0%,3.10~15%,47.83,47.83,54.35,50.0,45.65,46
12.長上影線綠K,06.0~2%,3.10~15%,41.3,36.96,36.96,34.78,39.13,46
