K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
07.紅K,07.0%,2.5~10%,42.05,41.54,51.28,49.23,49.23,195
02.T字線,10.-6~-4%,1.<5%,40.62,48.96,46.88,44.27,49.48,192
02.T字線,01.>10%,3.10~15%,37.63,34.41,33.33,34.41,34.95,186
02.T字線,06.0~2%,2.5~10%,31.11,36.11,36.67,36.11,40.22,180
12.長上影線綠K,03.6~8%,1.<5%,35.26,37.57,39.88,40.7,41.86,174
09.實體綠K(大陰線),01.>10%,1.<5%,29.48,36.99,31.21,31.21,30.64,173
11.綠K,11.-8~-6%,1.<5%,50.29,50.88,51.46,53.8,55.56,171
09.實體綠K(大陰線),03.6~8%,2.5~10%,42.17,45.78,37.35,33.73,38.18,166
03.倒T字線,08.-2~0%,2.5~10%,53.94,49.09,49.09,46.06,46.06,165
02.T字線,05.2~4%,2.5~10%,30.49,37.2,39.63,38.41,40.24,164
04.十字線,02.8~10%,3.10~15%,46.01,47.24,46.63,44.17,44.17,163
02.T字線,03.6~8%,3.10~15%,54.32,50.62,48.15,49.38,48.15,162
06.長下影線紅K,11.-8~-6%,1.<5%,45.62,45.62,42.5,44.38,50.31,160
07.紅K,10.-6~-4%,1.<5%,43.04,45.57,48.73,51.9,51.9,158
11.綠K,11.-8~-6%,3.10~15%,58.06,56.77,50.97,52.26,54.19,155
11.綠K,04.4~6%,2.5~10%,48.39,42.58,44.81,46.75,42.86,155
06.長下影線紅K,01.>10%,2.5~10%,50.0,49.35,50.65,48.05,49.67,154
08.長上影線紅K,07.0%,3.10~15%,46.67,48.0,50.0,44.0,40.67,150
12.長上影線綠K,12.-10~-8%,3.10~15%,55.03,51.01,53.69,56.38,61.74,149
05.實體紅K(大陽線),11.-8~-6%,2.5~10%,39.46,47.62,52.38,54.42,57.14,147
09.實體綠K(大陰線),09.-4~-2%,4.>15%,46.21,43.06,43.06,40.97,43.06,145
04.十字線,11.-8~-6%,3.10~15%,52.78,54.86,57.64,56.94,58.33,144
02.T字線,01.>10%,2.5~10%,38.03,35.21,38.03,35.92,38.03,142
08.長上影線紅K,01.>10%,1.<5%,40.0,45.93,49.63,46.67,45.19,135
04.十字線,13.<-10%,4.>15%,57.58,56.82,67.42,63.64,67.42,132
12.長上影線綠K,13.<-10%,1.<5%,52.31,55.38,64.62,64.62,67.44,130
12.長上影線綠K,10.-6~-4%,4.>15%,44.19,43.41,41.09,44.96,45.74,129
10.長下影線綠K,03.6~8%,3.10~15%,43.75,43.75,39.06,38.28,35.16,128
04.十字線,03.6~8%,3.10~15%,47.24,47.24,44.09,46.46,48.03,127
03.倒T字線,11.-8~-6%,3.10~15%,37.6,38.4,48.0,53.6,49.6,125
05.實體紅K(大陽線),03.6~8%,4.>15%,30.89,28.46,25.2,27.64,30.08,123
08.長上影線紅K,11.-8~-6%,3.10~15%,50.41,56.2,57.02,62.81,64.46,121
05.實體紅K(大陽線),13.<-10%,1.<5%,61.74,73.91,73.91,71.3,67.83,115
08.長上影線紅K,02.8~10%,1.<5%,36.28,36.28,46.02,50.44,47.79,113
04.十字線,06.0~2%,3.10~15%,41.07,41.07,42.86,46.43,49.11,112
03.倒T字線,13.<-10%,1.<5%,32.73,38.18,55.45,62.73,69.09,110
12.長上影線綠K,07.0%,3.10~15%,43.93,46.23,40.57,44.34,44.34,109
